Start Time, End Time, Color, Thruster
2019-03-18T20:42:01.000000000, 2019-03-18T22:42:02.000000000,0xFF0000, Thruster
2019-03-18T20:42:01.000000000, 2019-03-18T22:42:02.000000000,0xFF0000, Thruster2
2019-03-19T21:51:03.000000000, 2019-03-19T23:51:04.000000000,0xFF0000, Thruster
2019-03-19T21:51:03.000000000, 2019-03-19T23:51:04.000000000,0xFF0000, Thruster2
2019-03-22T19:55:04.000000000, 2019-03-22T22:24:05.000000000,0xFF0000, Thruster
2019-03-22T19:55:04.000000000, 2019-03-22T22:24:05.000000000,0xFF0000, Thruster2
2019-04-02T20:10:06.000000000, 2019-04-02T23:41:38.000000000,0xFF0000, Thruster
2019-04-25T15:45:10.000000000, 2019-04-25T18:13:15.000000000,0xFF0000, Thruster
2019-04-25T15:45:10.000000000, 2019-04-25T19:01:37.000000000,0xFF0000, Thruster
2019-05-10T18:00:06.000000000, 2019-05-10T20:30:22.000000000,0xFF0000, Thruster
2019-05-16T15:10:49.000000000, 2019-05-16T16:02:01.000000000,0xFF0000, Thruster
2019-06-04T17:35:05.000000000, 2019-06-04T20:47:33.000000000,0xFF0000, Thruster
2019-06-20T12:59:58.000000000, 2019-06-20T15:29:22.000000000,0xFF0000, Thruster
2019-07-02T18:30:06.000000000, 2019-07-02T18:32:16.000000000,0xFF0000, Thruster
2019-07-03T19:51:04.000000000, 2019-07-03T22:15:49.000000000,0xFF0000, Thruster
2019-07-18T18:44:55.000000000, 2019-07-18T21:05:16.000000000,0xFF0000, Thruster
2019-08-08T15:25:04.000000000, 2019-08-08T18:46:15.000000000,0xFF0000, Thruster
2019-08-29T13:00:02.000000000, 2019-08-29T16:30:05.000000000,0xFF0000, Thruster
2019-09-12T13:30:11.000000000, 2019-09-12T14:02:00.000000000,0xFF0000, Thruster2
2019-09-24T14:44:56.000000000, 2019-09-24T16:29:47.000000000,0xFF0000, Thruster
2019-10-03T14:00:03.000000000, 2019-10-03T15:00:04.000000000,0xFF0000, Thruster
2019-10-03T14:00:03.000000000, 2019-10-03T15:00:04.000000000,0xFF0000, Thruster2
